City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Pemangkat,ID,1.1667,108.9667,78.13,84,95,2.91,overcast clouds
321,Sechura,PE,-5.5569,-80.8222,79.14,55,26,14.27,scattered clouds
322,Karoi,ZW,-16.8099,29.6925,58.73,51,0,5.55,clear sky
323,Anju,KP,39.6178,125.6647,63.32,89,8,3.78,clear sky
324,Puerto Escondido,MX,15.85,-97.0667,90.43,62,40,11.5,scattered clouds
325,Avera,US,33.194,-82.5271,94.95,40,69,7.67,broken clouds
326,Tenkodogo,BF,11.78,-0.3697,77.11,78,24,2.93,few clouds
327,Saint George,US,37.1041,-113.5841,99.43,28,1,1.01,clear sky
328,Peterborough,GB,52.5736,-0.2478,70.9,79,75,3.44,broken clouds
329,Chaman,PK,30.9236,66.4512,81.3,11,0,5.44,clear sky
330,Mayumba,GA,-3.432,10.6554,74.37,90,96,9.57,overcast clouds
331,Turan,VN,16.0678,108.2208,87.78,51,20,3.44,few clouds
332,Yuncheng,CN,35.0231,110.9928,69.87,84,0,5.88,clear sky
333,Quang Ngai,VN,15.1167,108.8,78.98,74,100,5.01,light rain
334,Richland,US,40.7834,-82.5499,80.22,54,20,8.05,few clouds
335,Sanming,CN,26.2486,117.6186,77.38,95,100,2.28,overcast clouds
336,Alihe,CN,50.5667,123.7167,60.64,77,100,1.07,overcast clouds
337,Sitka,US,57.0531,-135.33,60.69,72,40,4.61,scattered clouds
338,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.18,79,19,9.48,few clouds
339,Kiunga,PG,-6.1219,141.2906,74.08,99,100,1.97,overcast clouds
340,Neepawa,CA,50.2289,-99.4664,88.2,22,5,12.39,clear sky
341,Tuatapere,NZ,-46.1333,167.6833,42.82,89,100,5.66,overcast clouds
342,High Level,CA,58.5169,-117.136,69.91,43,75,8.05,broken clouds
343,Teya,RU,60.3778,92.6267,52.74,95,82,2.98,broken clouds
344,Piacabucu,BR,-10.4056,-36.4344,76.84,76,19,10.38,few clouds
345,Ferme-Neuve,CA,46.7001,-75.4493,71.38,35,5,9.19,clear sky
346,Maceio,BR,-9.6658,-35.7353,74.64,94,75,3.44,broken clouds
347,Belyy Yar,RU,53.6039,91.3903,57.09,100,0,2.24,clear sky
